,text,provenance,convention,old,new
0,Software performance testing is the practice of determining whether a given application has the capacity to perform in terms of scalability and responsiveness under a specified workload.  ,efficiency,civic,1,1
0,Lightning fast cluster computing — up to 100x faster than Hadoop for iterative algorithms (memory caching) and up to 10x faster than Hadoop for single-pass MapReduce jobs. ,efficiency,civic,1,1
0,The successful design and evaluation of such optimization techniques is invariably tied to a broad and accurate set of rich tools that are available for conducting these studies ,efficiency,civic,1,1
0,Control CPU and RAM usage from your system tray. ,efficiency,civic,1,1
0,Long-term memory effects on working memory updating development. ,efficiency,civic,1,1
0,This helps save memory while having little effect on performance. ,efficiency,civic,1,0
0,Validates Spark as the most efficient data processing engine. ,efficiency,civic,1,1
0,Machine learning and deep learning hardware challenges - memory challenges in deep neural networks. ,efficiency,civic,1,1
0,Low-latency. ,efficiency,civic,1,0
0,"Then using the efficient search scroll API, the entire dataset that matches your query is streamed out to subscribers. ",efficiency,inspired,0,1
0,The MLPerf effort aims to build a common set of benchmarks that enables the machine learning (ML) field to measure system performance for both training and testing. ,efficiency,civic,1,1
