text	provenance	civic	domestic	green	industrial	inspired	market	project	renown
This framework is expected to simplify HRI, consequently enhancing the adoption of assistive technologies and improving users’ independence in daily living.	s2_ai	1	1	0	1	0	0	0	0
are included in the framework and explored along the paper.	s2_ai	0	0	0	0	0	0	0	0
The proposed framework consists of three major steps.	s2_ai	0	0	0	0	0	0	0	0
A lot of research effort in the CP community is directed toward improving this trade-off.	s2_ai	0	0	0	1	0	0	0	0
It discusses the present state of the art, and outlines directions for future developments.	s2_ai	0	0	0	0	0	0	0	0
Supplementary information has been proven to be particularly useful in many machine learning tasks.	s2_ai	0	0	0	1	0	0	0	0
An optimization-based method was proposed to identify the unknown model parameters.	s2_ai	0	0	0	1	0	0	0	0
The algorithm is based on the onboard inertial measurement unit and the robot's dynamics model only.	s2_ai	0	0	0	1	0	0	0	0
Outlier detection acts as one of the most important analysis tasks for trajectory stream.	s2_ai	0	0	0	1	0	0	0	0
Robust state estimation is the core capability for autonomous aerial robots operating in complex environments.	s2_ai	0	0	0	1	0	0	0	0
Experiments show that the proposed system performs well on both 2D keypoint estimation and 3D structure recovery.	s2_ai	0	0	0	1	0	0	0	0
Dynamic modeling and impedance control experiments show that the torque and stiffness rendering results are better than those of existing SEAs.	s2_ai	0	0	0	1	0	0	0	0
For example, electroencephalogram (EEG) time series include oscillation components such as alpha, beta, and gamma.	s2_ai	0	0	0	1	0	0	0	0
These templates evolve at an accuracy of a few milliseconds.	s2_ai	0	0	0	1	0	0	0	0
We develop two algorithms <italic>RRclosed</italic> and <italic>RRnull</italic> to perform the redundancy reduction for prevalent co-location patterns.	s2_ai	0	0	0	1	0	0	0	0
The performance of the dual master–slave system equipped with flexible devices is validated through several phantom tests.	s2_ai	0	0	0	1	0	0	0	0
Finally, a general clothoid with arbitrary parameters can be conveniently approximated based on the lookup table through appropriate geometric transformations.	s2_ai	0	0	0	1	0	0	0	0
(a) We show that there exists a 2-approximation algorithm to discover diversified summaries.	s2_ai	0	0	0	1	0	0	0	0
Randomised Decision Forests are trained using real data to provide fast coarse segmentation of the hand.	s2_ai	0	0	0	1	0	0	0	0
Therefore, this system can build a 3D model without complicated post-processing procedures such as ICP.	s2_ai	0	0	0	1	0	0	0	0
We demonstrate the efficacy of our method by simulating a task specification on a Baxter robot.	s2_ai	0	0	0	1	0	0	0	0
Outlier detection acts as one of the most important analysis tasks for trajectory stream.	s2_ai	0	0	0	1	0	0	0	0
ODM uses invariants created from plant design to detect and report anomalies in processes.	s2_ai	0	0	0	1	0	0	0	0
The damping of synthetic fiber ropes was found to suppress the servo system gain.	s2_ai	0	0	0	1	0	0	0	0
Finally, we apply the optimized algorithm for haptic recognition of daily-life objects using an anthropomorphic robot hand.	s2_ai	0	0	0	1	0	0	0	0
The introduced method is utilized to validate the methods Generic Automated Finger Design (GAFD), Manually Designed Fingers (MDF) and the eGrip tool.	s2_ai	0	0	0	1	0	0	0	0
Stereo cameras are now commonly available on cars and mobile phones.	s2_ai	0	0	0	1	0	0	0	0
Graph partition can then be formulated as searching an optimal interface in the node-weighted directed graph without user initialization.	s2_ai	0	0	0	1	0	0	0	0
Methods for detecting tracking loss and automatically resuming tracking are presented.	s2_ai	0	0	0	1	0	0	0	0
We propose an efficient decentralized algorithm that exploits virtual points and returns the exact answer.	s2_ai	0	0	0	1	0	0	0	0
For parameter inference, we propose an efficient expectation propagation (EP) algorithm to solve the DSS model.	s2_ai	0	0	0	1	0	0	0	0
One filter is updated using a dynamics model of the blimp, whereas the other uses a constant speed model.	s2_ai	0	0	0	1	0	0	0	0
Keywords—feature detection; gaze control; mobile robot coordination	s2_ai	0	0	0	1	0	0	0	0
The cost-sensitive QA framework iteratively selects different storylines of questions to update different nodes in the AOG.	s2_ai	0	0	0	1	0	0	0	0
