text	provenance	convention	old	new
The letter describes the design and fabrication of the proposed sensor and discusses the experimental results for sensor characterization.	Semantic Scholar	inspired	0	1
As both social network structure and strength of influence between individuals evolve constantly, it requires tracking the influential nodes under a dynamic setting.	Semantic Scholar	renown	0	1
Sentiment analysis is applied to posts to acquire their initial stance, and then the post and user stance are updated iteratively with correlated posting-related actions.	Semantic Scholar	renown	0	1
As a consequence, estimating the hand pose and at the same time having the capability to provide haptic feedback in a wearable way may benefit areas such as rehabilitation, human–robot interaction, gaming, and many more.	Semantic Scholar	inspired	0	1
Due to its immense application potential and enormous technical challenges, IM has been extensively studied in the past decade.	Semantic Scholar	inspired	0	1
In this paper, we propose to model and learn distributed word representations with metadata of category information within cQA pages for question retrieval using two novel category powered models.	Semantic Scholar	inspired	0	1
Our experiments demonstrate that the models trained on augmented imagery generalize better than those trained on fully synthetic data or models trained on limited amounts of annotated real data.	Semantic Scholar	inspired	0	1
We develop a new learning rule designed around the complications of learning modulatory feedback and composed of three simple concepts grounded in physiologically plausible evidence.	Semantic Scholar	inspired	0	1
In this paper, we propose a novel Web services discovery approach, which can mine the underlying semantic structures of interaction interface parameters to help users find and employ Web services, and can match interfaces with high precision when the parameters of those interfaces contain meaningful synonyms, abbreviations, and combinations of disordered fragments.	Semantic Scholar	inspired	0	1
To solve dynamic Sylvester equation in the presence of additive noises, a novel recurrent neural network (NRNN) with finite-time convergence and excellent robustness is proposed and analyzed in this paper.	Semantic Scholar	inspired	0	1
Comparison with six different schemes and two existing methods demonstrates that the proposed method is effective in discovering influence-based communities.	Semantic Scholar	renown	0	1
In order to effectively deal with these challenges to infer cognitive wellness from motor patterns with high accuracy, we propose the MOtor-Cognitive Analytics (MOCA) framework.	Semantic Scholar	green	1	1
This paper presents a new approach for indexing real feature vectors in high dimensional space.	Semantic Scholar	inspired	0	1
Value iteration approaches have proven an outstanding flexibility, while maintaining high data efficiency when combined with probabilistic models to eliminate model bias.	Semantic Scholar	industrial	0	1
For example, the proposed system achieves 97.21% classification accuracy while the pixel-based single-image NN system achieves 64.74%.	Semantic Scholar	industrial	0	1
The complete distributed control framework is implemented with the combination of a fast model predictive control method executed at 50 Hz on low-power computers onboard multirotor UAVs and validated via a series of hardware-in-the-loop simulations and real-robot experiments.	Semantic Scholar	green	1	1
Specifically, in order to trade off accuracy for efficiency, approximate solutions for the k-NN query are extensively explored.	Semantic Scholar	industrial	0	1
The extremely fast execution speed is guaranteed owing to the fact that our method effectively turns the original complicated problem into a few small-scale least square optimizations.	Semantic Scholar	industrial	0	1
