text	provenance	civic	domestic	green	industrial	inspired	market	project	renown
It is water- and dustproof, meeting hygienic and practical demands.	s2_ai	0	0	0	0	0	0	0	0
We report our analysis on this database.	s2_ai	0	0	0	0	0	0	0	0
This letter introduces a snakelike robot for ear, nose, and throat surgery.	s2_ai	0	0	0	0	0	0	0	0
Although no exact value was found, tight bounds were discovered.	s2_ai	0	0	0	1	0	0	0	0
Some reported that noises were localized with laser-like precision or said the sounds seemed to follow them (within the territory in which they were perceived).	s2_ai	0	0	0	1	0	0	0	0
In addition, the passivity of RDMNNs without any delay is also considered.	s2_ai	0	0	0	1	0	0	0	0
This anomaly occurs when twins share blood vessels from a common placenta.	s2_ai	0	0	0	0	0	0	0	0
Intensive summer schools often provide strong students with career-changing impact, teaching them the art of the trade, letting them understand the logical underbelly of a field, and connecting them with an elite circle of peers and field leaders.	s2_ai	0	1	0	0	0	0	0	1
Twelve healthy volunteers participated in our experiments.	s2_ai	0	0	0	0	0	0	1	0
Although a lot of work has been performed in the gesture-based human–computer interface, blind users still feel it is difficult to interact with computers.	s2_ai	1	1	0	0	0	0	0	0
Every moment counts in action recognition.	s2_ai	0	0	0	0	0	0	0	0
The marine platform is over-actuated, i.e.	s2_ai	0	0	0	0	0	0	0	0
Therefore, as a simple yet powerful way of disseminating useful information, retweeting has attracted much interest.	s2_ai	0	1	0	0	0	0	1	0
We call this effect the standard foreperiod (SFP) effect on ITPC.	s2_ai	0	0	0	1	0	0	0	0
Here we present a single-body microrobot that simultaneously demonstrates all 6-DOF.	s2_ai	0	0	0	1	0	0	0	0
We illustrate how a simple approximation of attention weights (i.e.	s2_ai	0	1	0	1	0	0	0	0
RHS is independent of the content and language involved in handwriting; therefore, writer identification at the RHS level is more general and convenient than the character level or the word level, which also requires character/word segmentation.	s2_ai	0	0	0	0	0	0	0	0
We prove correctness and time complexity of these algorithms.	s2_ai	0	0	0	1	0	0	0	0
The object is first caged by trapezoidal finger formations of the equivalent three-finger hand, and the hand is then closed until the object is locked against the wall in the desired grasp.	s2_ai	0	0	0	0	0	0	0	0
Each person has a different personal space and behaves differently when another person approaches.	s2_ai	0	1	0	0	0	0	0	0
