text	provenance	civic	domestic	green	industrial	inspired	market	project	renown
Zero-shot learning for visual recognition, e.g., object and action recognition, has recently attracted a lot of attention.	s2_ai	0	0	0	0	1	0	0	0
To the authors' knowledge, this is the first time a border ownership network has been learned.	s2_ai	0	0	0	0	0	0	0	1
Indeed the first events on the subject, often colocated with major AI conferences, date back to almost thirty years ago.	s2_ai	0	0	0	0	0	0	0	0
In the first part of this survey, we examine the state of the art by comparing modern approaches to the problem.	s2_ai	0	0	0	1	0	0	0	0
The eco-driving information also supported significantly greater coasting distances (when approaching slowing events), a behavior not spontaneously produced by participants when asked to drive economically.	s2_ai	0	0	0	0	0	0	0	0
When an institution design is found to be non-compliant, punishments can be issued by annulling the legislation or imposing fines on the responsible designers (i.e., government).	s2_ai	0	0	0	0	0	0	0	0
There were 67 institutions represented, the majority of which are doctoral granting universities located in the United States.	s2_ai	0	0	0	0	0	0	0	0
As one of the most popular online social network platforms, Twitter has attracted a large number of users who send millions of tweets on daily basis.	s2_ai	0	0	0	0	0	0	0	0
Many new schools are started each year, only some move on to ongoing success, and the vast majority take a while until they reach very good ratings (our ratings are still increasing but approaching 10/10).	s2_ai	0	0	0	0	0	0	0	0
In the subsequent years, CPAIOR was held in Prague (Czech Republic), Cork (Ireland), Brussels (Belgium), Paris (France), Pittsburgh (USA), Bologna (Italy), Berlin (Germany), Nantes (France), Yorktown Heights (USA), Cork (Ireland), Barcelona (Spain) and Banff (Canada).	s2_ai	0	0	0	0	0	0	0	1
