text	provenance	civic	domestic	green	industrial	inspired	market	project	renown
By looking at a person’s hands, one can often tell what the person is going to do next, how his/her hands are moving and where they will be, because an actor’s intentions shape his/her movement kinematics during action execution.	s2_ai	0	1	0	0	0	0	0	0
"Such <inline-formula> <tex-math notation=""LaTeX"">$K_{n,n}$</tex-math><alternatives><inline-graphic xlink:href=""yu-ieq2-2764468.gif""/> </alternatives></inline-formula> in general implies a philosophy contradiction: (a) Any two individuals are friends if they have no common friends, and (b) Any two individuals are not friends if they have common friends."	s2_ai	0	0	0	0	0	0	0	0
When you don't want to read, you can get punishment from the publisher.	s2_ai	0	0	0	0	0	0	0	0
Intuitively, if a user has many interactions with his friends within a time period and most of his friends do not have many interactions with their friends simultaneously, it is very likely that this user has high vitality.	s2_ai	0	0	0	0	0	0	0	0
By looking at a person’s hands, one can often tell what the person is going to do next, how his/her hands are moving and where they will be, because an actor’s intentions shape his/her movement kinematics during action execution.	s2_ai	0	1	0	0	0	0	0	0
When you don't want to read, you can get punishment from the publisher.	s2_ai	0	0	0	0	0	0	0	0
Most of what we do with our hands, and the most of what robots do with their grippers, is based on the ability to control frictional forces.	s2_ai	0	0	0	0	0	0	0	0
However, the use of such a MATE system calls to attention several ethical and social implications, which are discussed in this article.	s2_ai	0	0	0	0	0	0	0	0
Our approach transforms the formation and heading consensus problem to a pose regulation problem.	s2_ai	0	0	0	0	0	0	0	0
Finally, the proposed method is tested in a scenario where the budget consumption is changing during mission execution.	s2_ai	0	0	0	0	0	0	0	0
Our proposed analysis framework may have a broader impact on assessing memory reactivations in other brain regions under different behavioral tasks.	s2_ai	0	0	0	0	0	0	0	0
Recently telecom fraud has become a serious problem especially in developing countries such as China.	s2_ai	0	0	0	0	0	0	0	0
A human-robot dialogue system [9] has been developed in joint-action science and technology to solve a construction task collaboratively with a human.	s2_ai	0	0	0	0	0	0	0	0
Energy-aware motion planning for robotic systems has received increasing attention during recent years, due to environmental and economic reasons.	s2_ai	0	0	0	0	0	0	0	0
Environmental sustainability research is dependent on accurate land cover information.	s2_ai	0	0	0	0	0	0	0	0
Farmers are under growing pressure to intensify production to feed a growing population while managing environmental impact.	s2_ai	0	0	0	0	0	0	0	0
Traditional scheduling of ISSSC has emphasized production performance indexes without considering energy and environmental factors.	s2_ai	0	0	1	1	0	0	0	0
Furthermore, global fault tolerant measures are defined in order to evaluate the different designs.	s2_ai	0	0	0	1	0	0	0	0
A future research roadmap to facilitate investigating pedestrian receptivity toward FAVs was designed.	s2_ai	0	0	0	0	0	0	0	0
In labeling post stance, the proposed approach considers post content as well as posting and liking behavior, which involves users.	s2_ai	0	0	0	0	0	0	0	0
Our approach is showcased for well-known global constraints: alldifferent, cumulative, binpacking and unary (with transition times).	s2_ai	0	0	0	0	0	0	0	0
Moreover, to verify long-term reliability, a 12-hour continuous operation test is conducted.	s2_ai	0	0	0	1	0	0	0	0
