	Unnamed: 0	convention	new	old	provenance	text
0	0.0	industrial	1	0	efficiency	The parser generates events similar to an xml sax parser, and is very efficient memory wise. 
1	1.0	industrial	1	0	efficiency	Verify response time of the Application Under Load is within an acceptable range when the network connectivity is slow 
2	2.0	industrial	1	0	efficiency	Flexible and powerful JSON manipulation, validation and serialization, with no reflection at runtime. 
3	3.0	industrial	1	0	efficiency	Requires data to be entered only once, with no re-keying. 
4	4.0	industrial	1	0	efficiency	DebugBear - Monitor website performance and Lighthouse scores. 
5	5.0	industrial	1	0	efficiency	Data Processing Framework Using Apache and Spark Technologies in Big Data. 
6	6.0	civic	1	1	efficiency	The TensorFlow project strives to abide by generally accepted best practices in open-source software development. 
7	7.0	industrial	1	0	efficiency	Each dataset is represented by a directory containing the same image data in several resolutions to enable efficient streaming. 
8	8.0	industrial	1	0	efficiency	Therefore, developers of less demanding software gradually lower their standard on efficiency.  
9	9.0	industrial	1	0	efficiency	Cache-Control headers and gzip support to be as fast as possible. 
10	10.0	green	1	0	efficiency	Integrated web-based platform that manages the total spectrum of data needed to manage energy efficiency programs. 
11	11.0	industrial	1	0	efficiency	Efficiency attempts to measure the amount of productive code contributed by a software developer. 
12	12.0	industrial	1	0	efficiency	It could be more than double the RAM requirements. 
13	13.0	industrial	1	0	efficiency	Identify a database test data load tool for the development/component unit test environment; this is required to ensure that the database optimizer chooses correct execution paths and to enable reinitializing and reloading the database as needed. 
14	14.0	industrial	1	0	efficiency	Private bytes - number of bytes a process has allocated that can't be shared amongst other processes. These are used to measure memory leaks and usage. 
15	15.0	industrial	1	0	efficiency	Cache-Control headers and gzip support to be as fast as possible. 
16	16.0	industrial	1	0	efficiency	A deep learning framework designed for both efficiency and flexibility. 
17	17.0	industrial	1	0	efficiency	Thread counts - An applications health can be measured by the no. of threads that are running and currently active. 
18	18.0	industrial	1	0	efficiency	When it comes to improving the execution time of your multiple-task code, you may want to utilize multiple cores in the CPU to execute several tasks simultaneously.  
19	19.0	industrial	1	0	efficiency	The fast pace of hardware development provides enriched hardware resources that increase the tolerance to inefficiency.  
20	20.0	industrial	1	0	efficiency	CPU support for inference: runs on CPU in inference time. See our webcam demo for an example. 
21	21.0	industrial	1	0	efficiency	Scalable fuzzing infrastructure. 
