text	provenance	convention	old	new
The parser generates events similar to an xml sax parser, and is very efficient memory wise. 	efficiency	industrial	0	1
Verify response time of the Application Under Load is within an acceptable range when the network connectivity is slow 	efficiency	industrial	0	1
Flexible and powerful JSON manipulation, validation and serialization, with no reflection at runtime. 	efficiency	industrial	0	1
Requires data to be entered only once, with no re-keying. 	efficiency	industrial	0	1
DebugBear - Monitor website performance and Lighthouse scores. 	efficiency	industrial	0	1
Data Processing Framework Using Apache and Spark Technologies in Big Data. 	efficiency	industrial	0	1
The TensorFlow project strives to abide by generally accepted best practices in open-source software development. 	efficiency	civic	1	1
Each dataset is represented by a directory containing the same image data in several resolutions to enable efficient streaming. 	efficiency	industrial	0	1
Therefore, developers of less demanding software gradually lower their standard on efficiency.  	efficiency	industrial	0	1
Cache-Control headers and gzip support to be as fast as possible. 	efficiency	industrial	0	1
Integrated web-based platform that manages the total spectrum of data needed to manage energy efficiency programs. 	efficiency	green	0	1
Efficiency attempts to measure the amount of productive code contributed by a software developer. 	efficiency	industrial	0	1
It could be more than double the RAM requirements. 	efficiency	industrial	0	1
Identify a database test data load tool for the development/component unit test environment; this is required to ensure that the database optimizer chooses correct execution paths and to enable reinitializing and reloading the database as needed. 	efficiency	industrial	0	1
Private bytes - number of bytes a process has allocated that can't be shared amongst other processes. These are used to measure memory leaks and usage. 	efficiency	industrial	0	1
Cache-Control headers and gzip support to be as fast as possible. 	efficiency	industrial	0	1
A deep learning framework designed for both efficiency and flexibility. 	efficiency	industrial	0	1
Thread counts - An applications health can be measured by the no. of threads that are running and currently active. 	efficiency	industrial	0	1
When it comes to improving the execution time of your multiple-task code, you may want to utilize multiple cores in the CPU to execute several tasks simultaneously.  	efficiency	industrial	0	1
The fast pace of hardware development provides enriched hardware resources that increase the tolerance to inefficiency.  	efficiency	industrial	0	1
CPU support for inference: runs on CPU in inference time. See our webcam demo for an example. 	efficiency	industrial	0	1
Scalable fuzzing infrastructure. 	efficiency	industrial	0	1
Efficiency testing test the amount of code and testing resources required by a program to perform a particular function. 	efficiency	industrial	0	1
To scalable distributed processing, Apache Spark also allows interactive data analysis. 	efficiency	industrial	0	1
Create programming code that ensures data integrity and consistency. 	efficiency	industrial	0	1
DebugBear - Monitor website performance and Lighthouse scores. 	efficiency	industrial	0	1
Efficient binary serialization. 	efficiency	industrial	0	1
DebugBear - Monitor website performance and Lighthouse scores. 	efficiency	industrial	0	1
High-performance computing applications such as seismic analysis and biotechnology workloads scaled horizontally to support tasks that once would have required expensive supercomputers. 	efficiency	industrial	0	1
Verify response time of the Application Under Load is within an acceptable range when the network connectivity is slow 	efficiency	industrial	0	1
Create programming code that ensures data integrity and consistency. 	efficiency	industrial	0	1
Remove unnecessary code or code that goes to redundant processing. 	efficiency	industrial	0	1
Security, safety and privacy challenges and building secure AI systems. 	efficiency	civic	1	1
Therefore,finding a method for resource allocation optimization is crucial to achieve software efficiency or performance optimization at the software architectural level.  	efficiency	industrial	0	1
Cycle time describes how long it takes to change the software system and implement that change in production. 	efficiency	industrial	0	1
Open/close rates are calculated by tracking production issues reported in a specific time period. 	efficiency	industrial	0	1
Efficient binary serialization. 	efficiency	industrial	0	1
The distributed nature of the Domain Name System allows it to work efficiently, serving billions of hosts on the worldwide Internet. 	efficiency	industrial	0	1
This reduces recompilation time a lot. 	efficiency	industrial	0	1
The guidelines are focused on relatively higher-level issues, such as interfaces, resource management, memory management, and concurrency. 	efficiency	industrial	0	1
DoctorKafka can also perform load balancing based on topic partitions\'s network usage, and makes sure that broker network usage does not exceed the defined settings. 	efficiency	industrial	0	1
Gorgonia is currently fairly performant - its speeds are comparable to Theano's and Tensorflow's  CPU implementations. 	efficiency	industrial	0	1
A software product suffers from poor scalability when it cannot handle the expected number of users or when it does not accommodate a wide enough range of users.  	efficiency	industrial	0	1
Lets you build scalable, resilient, and reactive applications that meet the needs of your business. 	efficiency	industrial	0	1
Efficiency testing tests the amount of resources required by a program to perform a specific function. 	efficiency	industrial	0	1
A toolkit and runtime for building highly concurrent, distributed, and fault tolerant event-driven applications. 	efficiency	industrial	0	1
Average relative increase in memory consumption. 	efficiency	industrial	0	1
Verify response time is not more than 4 secs when 1000 users access the website simultaneously. 	efficiency	industrial	0	1
A library for fast numerical computation. 	efficiency	industrial	0	1
Indexes are used to quickly locate data without having to search every row in a database table every time a database table is accessed.  	efficiency	industrial	0	1
